sort,SUBJECT,SESSION,File,TIME_WINDOW,GENDER,PEAK,ELEC,COND_NUM,evoked0,quest0,cond0,chan0,tmin0,tmax0,mode0,chanX,latX,valX,SUB,SES,TASK,RUN,CHAN_BUND
0,3,1,sub-03mjkf_task-lexdec_run-001,2,1,0.761027,AF3,1,evokedZ,word_set,verb_X,LF,0.19,0.29,pos,LF,,1.5124611666666665,03mjkf,eeg001,lexdec,1,
0,3,1,sub-03mjkf_task-lexdec_run-001,2,1,0.9181239999999999,AF4,1,evokedZ,word_set,verb_X,RF,0.19,0.29,pos,RF,,1.3123415,03mjkf,eeg001,lexdec,1,
0,3,1,sub-03mjkf_task-lexdec_run-001,2,1,1.094905,C1,1,evokedZ,word_set,verb_X,LC,0.19,0.29,pos,LC,,2.475348,03mjkf,eeg001,lexdec,1,
0,3,1,sub-03mjkf_task-lexdec_run-001,2,1,1.577041,C2,1,evokedZ,word_set,verb_X,RC,0.19,0.29,pos,RC,,3.385939833333333,03mjkf,eeg001,lexdec,1,
0,3,1,sub-03mjkf_task-lexdec_run-001,2,1,2.348887,O1,1,evokedZ,word_set,verb_X,LP,0.19,0.29,pos,LP,,2.3993836666666666,03mjkf,eeg001,lexdec,1,
0,3,1,sub-03mjkf_task-lexdec_run-001,2,1,6.476557,O2,1,evokedZ,word_set,verb_X,RP,0.19,0.29,pos,RP,,5.696859,03mjkf,eeg001,lexdec,1,
1,3,2,sub-03mjkf_task-lexdec_run-002,2,1,2.576889,AF3,1,evokedZ,word_set,verb_X,LF,0.19,0.29,pos,LF,,2.2687916666666665,03mjkf,eeg001,lexdec,2,
1,3,2,sub-03mjkf_task-lexdec_run-002,2,1,2.735973,AF4,1,evokedZ,word_set,verb_X,RF,0.19,0.29,pos,RF,,3.256922166666667,03mjkf,eeg001,lexdec,2,
1,3,2,sub-03mjkf_task-lexdec_run-002,2,1,0.9830120000000001,C1,1,evokedZ,word_set,verb_X,LC,0.19,0.29,pos,LC,,1.8515775,03mjkf,eeg001,lexdec,2,
1,3,2,sub-03mjkf_task-lexdec_run-002,2,1,2.361004,C2,1,evokedZ,word_set,verb_X,RC,0.19,0.29,pos,RC,,3.7416315,03mjkf,eeg001,lexdec,2,
1,3,2,sub-03mjkf_task-lexdec_run-002,2,1,0.579477,O1,1,evokedZ,word_set,verb_X,LP,0.19,0.29,pos,LP,,1.1571126666666667,03mjkf,eeg001,lexdec,2,
1,3,2,sub-03mjkf_task-lexdec_run-002,2,1,2.4554150000000003,O2,1,evokedZ,word_set,verb_X,RP,0.19,0.29,pos,RP,,3.5238831666666663,03mjkf,eeg001,lexdec,2,
2,3,3,sub-03mjkf_task-lexdec_run-003,2,1,0.795837,AF3,1,evokedZ,word_set,verb_X,LF,0.19,0.29,pos,LF,,1.9247186666666665,03mjkf,eeg001,lexdec,3,
2,3,3,sub-03mjkf_task-lexdec_run-003,2,1,2.481195,AF4,1,evokedZ,word_set,verb_X,RF,0.19,0.29,pos,RF,,2.864652,03mjkf,eeg001,lexdec,3,
