evoked0,quest0,cond0,chan0,tmin0,tmax0,mode0,chanX,latX,valX,SUB,SES,TASK,RUN,CHAN_BUND
evokedZ,word_set,noun_F,AF3,0.1,0.19,pos,AF3,,4.27825975,03mjkf,eeg001,lexdec,0,LF
evokedZ,word_set,noun_F,AF3,0.1,0.19,pos,AF3,,1.9517945,04mkkm,eeg001,lexdec,0,LF
evokedZ,word_set,noun_F,AF3,0.1,0.19,pos,AF3,,4.3012865,05jwxf,eeg001,lexdec,0,LF
evokedZ,word_set,noun_F,AF3,0.1,0.19,pos,AF3,,2.52921,06pppm,eeg001,lexdec,0,LF
evokedZ,word_set,noun_F,AF3,0.1,0.19,pos,AF3,,-0.31763075,07zrxf,eeg001,lexdec,0,LF
evokedZ,word_set,noun_F,AF3,0.1,0.19,pos,AF3,,1.6102382499999999,08pnxm,eeg001,lexdec,0,LF
evokedZ,word_set,noun_F,AF3,0.1,0.19,pos,AF3,,2.03782375,10mczf,eeg001,lexdec,0,LF
evokedZ,word_set,noun_F,AF3,0.1,0.19,pos,AF3,,0.33966349999999995,11kbxm,eeg001,lexdec,0,LF
evokedZ,word_set,noun_F,AF3,0.1,0.19,pos,AF3,,-1.520908,12jnxf,eeg001,lexdec,0,LF
evokedZ,word_set,noun_F,AF3,0.1,0.19,pos,AF3,,0.8911045000000001,13jsxm,eeg001,lexdec,0,LF
evokedZ,word_set,noun_F,AF3,0.1,0.19,pos,AF3,,3.20778075,14ktxf,eeg001,lexdec,0,LF
evokedZ,word_set,noun_F,AF3,0.1,0.19,pos,AF3,,0.7504392499999999,16olxm,eeg001,lexdec,0,LF
evokedZ,word_set,noun_F,AF3,0.1,0.19,pos,AF3,,-0.9272435,18skxm,eeg001,lexdec,0,LF
evokedZ,word_set,noun_F,AF3,0.1,0.19,pos,AF3,,1.60100325,19jgxf,eeg001,lexdec,0,LF
evokedZ,word_set,noun_F,AF3,0.1,0.19,pos,AF3,,2.4395065000000002,20jpxf,eeg001,lexdec,0,LF
evokedZ,word_set,noun_F,AF3,0.1,0.19,pos,AF3,,2.90193725,21koxf,eeg001,lexdec,0,LF
evokedZ,word_set,noun_F,AF3,0.1,0.19,pos,AF3,,5.75478575,22foxm,eeg001,lexdec,0,LF
evokedZ,word_set,noun_F,AF3,0.1,0.19,pos,AF3,,2.9130964999999995,23zdxf,eeg001,lexdec,0,LF
evokedZ,word_set,noun_F,AF3,0.1,0.19,pos,AF3,,0.41764225000000005,25abxf,eeg001,lexdec,0,LF
evokedZ,word_set,noun_F,AF3,0.1,0.19,pos,AF3,,3.4433344999999997,27mwxf,eeg001,lexdec,0,LF
evokedZ,word_set,noun_F,AF3,0.1,0.19,pos,AF3,,0.871885,28pmsf,eeg001,lexdec,0,LF
evokedZ,word_set,noun_F,AF3,0.1,0.19,pos,AF3,,0.37979925000000003,29jjxf,eeg001,lexdec,0,LF
evokedZ,word_set,noun_F,AF3,0.1,0.19,pos,AF3,,1.56636375,30mszf,eeg001,lexdec,0,LF
evokedZ,word_set,noun_F,AF3,0.1,0.19,pos,AF3,,2.1058572499999997,32mjxf,eeg001,lexdec,0,LF
evokedZ,word_set,noun_F,AF3,0.1,0.19,pos,AF3,,1.0268525,34gsxm,eeg001,lexdec,0,LF
evokedZ,word_set,noun_F,AF3,0.1,0.19,pos,AF3,,1.54954625,35mwxm,eeg001,lexdec,0,LF
evokedZ,word_set,noun_F,AF3,0.1,0.19,pos,AF3,,2.027086,36rwxm,eeg001,lexdec,0,LF
evokedZ,word_set,noun_F,AF3,0.1,0.19,pos,AF3,,2.7391445,38slxm,eeg001,lexdec,0,LF
evokedZ,word_set,noun_F,AF3,0.1,0.19,pos,AF3,,0.9045877499999999,39mrxm,eeg001,lexdec,0,LF
evokedZ,word_set,noun_F,AF3,0.1,0.19,pos,AF3,,3.89275225,40asxm,eeg001,lexdec,0,LF
evokedZ,word_set,noun_F,AF3,0.1,0.19,pos,AF3,,2.94988975,41roxm,eeg001,lexdec,0,LF
evokedZ,word_set,noun_F,AF3,0.1,0.19,pos,AF3,,1.2381545000000003,42aszm,eeg001,lexdec,0,LF
evokedZ,word_set,noun_F,AF3,0.11,0.13,pos,AF3,,-2.41135475,03mjkf,eeg001,lexdec,0,LF
evokedZ,word_set,noun_F,AF3,0.11,0.13,pos,AF3,,-1.20846025,04mkkm,eeg001,lexdec,0,LF
evokedZ,word_set,noun_F,AF3,0.11,0.13,pos,AF3,,-1.1061239999999999,05jwxf,eeg001,lexdec,0,LF
evokedZ,word_set,noun_F,AF3,0.11,0.13,pos,AF3,,-4.25968475,06pppm,eeg001,lexdec,0,LF
evokedZ,word_set,noun_F,AF3,0.11,0.13,pos,AF3,,-3.8845815000000004,07zrxf,eeg001,lexdec,0,LF
evokedZ,word_set,noun_F,AF3,0.11,0.13,pos,AF3,,-2.6582485,08pnxm,eeg001,lexdec,0,LF
evokedZ,word_set,noun_F,AF3,0.11,0.13,pos,AF3,,-5.475651000000001,10mczf,eeg001,lexdec,0,LF
evokedZ,word_set,noun_F,AF3,0.11,0.13,pos,AF3,,-2.9813427499999996,11kbxm,eeg001,lexdec,0,LF
evokedZ,word_set,noun_F,AF3,0.11,0.13,pos,AF3,,-5.5037780000000005,12jnxf,eeg001,lexdec,0,LF
evokedZ,word_set,noun_F,AF3,0.11,0.13,pos,AF3,,-0.8723942500000001,13jsxm,eeg001,lexdec,0,LF
evokedZ,word_set,noun_F,AF3,0.11,0.13,pos,AF3,,-1.5311645,14ktxf,eeg001,lexdec,0,LF
evokedZ,word_set,noun_F,AF3,0.11,0.13,pos,AF3,,-1.86413875,16olxm,eeg001,lexdec,0,LF
evokedZ,word_set,noun_F,AF3,0.11,0.13,pos,AF3,,-2.8133275,18skxm,eeg001,lexdec,0,LF
evokedZ,word_set,noun_F,AF3,0.11,0.13,pos,AF3,,-2.63744875,19jgxf,eeg001,lexdec,0,LF
evokedZ,word_set,noun_F,AF3,0.11,0.13,pos,AF3,,-1.4431275000000001,20jpxf,eeg001,lexdec,0,LF
evokedZ,word_set,noun_F,AF3,0.11,0.13,pos,AF3,,-1.58688975,21koxf,eeg001,lexdec,0,LF
evokedZ,word_set,noun_F,AF3,0.11,0.13,pos,AF3,,-2.0124500000000003,22foxm,eeg001,lexdec,0,LF
evokedZ,word_set,noun_F,AF3,0.11,0.13,pos,AF3,,-1.678255,23zdxf,eeg001,lexdec,0,LF
evokedZ,word_set,noun_F,AF3,0.11,0.13,pos,AF3,,-4.530324749999999,25abxf,eeg001,lexdec,0,LF
evokedZ,word_set,noun_F,AF3,0.11,0.13,pos,AF3,,-2.9468495,27mwxf,eeg001,lexdec,0,LF
evokedZ,word_set,noun_F,AF3,0.11,0.13,pos,AF3,,-2.205077,28pmsf,eeg001,lexdec,0,LF
evokedZ,word_set,noun_F,AF3,0.11,0.13,pos,AF3,,-4.155968249999999,29jjxf,eeg001,lexdec,0,LF
evokedZ,word_set,noun_F,AF3,0.11,0.13,pos,AF3,,-0.331417,30mszf,eeg001,lexdec,0,LF
evokedZ,word_set,noun_F,AF3,0.11,0.13,pos,AF3,,-3.6283395000000005,32mjxf,eeg001,lexdec,0,LF
evokedZ,word_set,noun_F,AF3,0.11,0.13,pos,AF3,,-1.4567715,34gsxm,eeg001,lexdec,0,LF
evokedZ,word_set,noun_F,AF3,0.11,0.13,pos,AF3,,-1.43726075,35mwxm,eeg001,lexdec,0,LF
evokedZ,word_set,noun_F,AF3,0.11,0.13,pos,AF3,,-1.3051535,36rwxm,eeg001,lexdec,0,LF
evokedZ,word_set,noun_F,AF3,0.11,0.13,pos,AF3,,-4.41460425,38slxm,eeg001,lexdec,0,LF
evokedZ,word_set,noun_F,AF3,0.11,0.13,pos,AF3,,-0.24064749999999996,39mrxm,eeg001,lexdec,0,LF
evokedZ,word_set,noun_F,AF3,0.11,0.13,pos,AF3,,-1.9431555,40asxm,eeg001,lexdec,0,LF
evokedZ,word_set,noun_F,AF3,0.11,0.13,pos,AF3,,-2.9989565000000002,41roxm,eeg001,lexdec,0,LF
evokedZ,word_set,noun_F,AF3,0.11,0.13,pos,AF3,,-4.68397175,42aszm,eeg001,lexdec,0,LF
evokedZ,word_set,noun_F,AF3,0.19,0.29,pos,AF3,,1.66042225,03mjkf,eeg001,lexdec,0,LF
evokedZ,word_set,noun_F,AF3,0.19,0.29,pos,AF3,,3.719476,04mkkm,eeg001,lexdec,0,LF
evokedZ,word_set,noun_F,AF3,0.19,0.29,pos,AF3,,3.5947267500000004,05jwxf,eeg001,lexdec,0,LF
evokedZ,word_set,noun_F,AF3,0.19,0.29,pos,AF3,,4.4334145,06pppm,eeg001,lexdec,0,LF
evokedZ,word_set,noun_F,AF3,0.19,0.29,pos,AF3,,2.8894995,07zrxf,eeg001,lexdec,0,LF
evokedZ,word_set,noun_F,AF3,0.19,0.29,pos,AF3,,3.4009184999999995,08pnxm,eeg001,lexdec,0,LF
evokedZ,word_set,noun_F,AF3,0.19,0.29,pos,AF3,,3.44731325,10mczf,eeg001,lexdec,0,LF
evokedZ,word_set,noun_F,AF3,0.19,0.29,pos,AF3,,0.7742945,11kbxm,eeg001,lexdec,0,LF
evokedZ,word_set,noun_F,AF3,0.19,0.29,pos,AF3,,-2.7591997499999996,12jnxf,eeg001,lexdec,0,LF
evokedZ,word_set,noun_F,AF3,0.19,0.29,pos,AF3,,1.43754325,13jsxm,eeg001,lexdec,0,LF
evokedZ,word_set,noun_F,AF3,0.19,0.29,pos,AF3,,4.882652,14ktxf,eeg001,lexdec,0,LF
evokedZ,word_set,noun_F,AF3,0.19,0.29,pos,AF3,,0.78091975,16olxm,eeg001,lexdec,0,LF
evokedZ,word_set,noun_F,AF3,0.19,0.29,pos,AF3,,1.9028985,18skxm,eeg001,lexdec,0,LF
evokedZ,word_set,noun_F,AF3,0.19,0.29,pos,AF3,,4.394752,19jgxf,eeg001,lexdec,0,LF
evokedZ,word_set,noun_F,AF3,0.19,0.29,pos,AF3,,5.959300000000001,20jpxf,eeg001,lexdec,0,LF
evokedZ,word_set,noun_F,AF3,0.19,0.29,pos,AF3,,4.53858275,21koxf,eeg001,lexdec,0,LF
evokedZ,word_set,noun_F,AF3,0.19,0.29,pos,AF3,,7.027777,22foxm,eeg001,lexdec,0,LF
evokedZ,word_set,noun_F,AF3,0.19,0.29,pos,AF3,,2.48965625,23zdxf,eeg001,lexdec,0,LF
evokedZ,word_set,noun_F,AF3,0.19,0.29,pos,AF3,,5.7751125000000005,25abxf,eeg001,lexdec,0,LF
