evoked0,quest0,cond0,chan0,tmin0,tmax0,mode0,chanX,latX,valX,SUB,SES,TASK,RUN,CHAN_BUND
evokedZ,word_set,noun_F,LF,0.1,0.19,pos,LF,,2.8952801666666663,03mjkf,eeg001,lexdec,0,
evokedZ,word_set,noun_F,RF,0.1,0.19,pos,RF,,4.8268087500000005,03mjkf,eeg001,lexdec,0,
evokedZ,word_set,noun_F,LC,0.1,0.19,pos,LC,,1.6352577916666666,03mjkf,eeg001,lexdec,0,
evokedZ,word_set,noun_F,RC,0.1,0.19,pos,RC,,3.4786988749999996,03mjkf,eeg001,lexdec,0,
evokedZ,word_set,noun_F,LP,0.1,0.19,pos,LP,,2.586295541666667,03mjkf,eeg001,lexdec,0,
evokedZ,word_set,noun_F,RP,0.1,0.19,pos,RP,,3.3697096666666666,03mjkf,eeg001,lexdec,0,
evokedZ,word_set,noun_F,LF,0.1,0.19,pos,LF,,1.9577337499999998,04mkkm,eeg001,lexdec,0,
evokedZ,word_set,noun_F,RF,0.1,0.19,pos,RF,,1.5474585,04mkkm,eeg001,lexdec,0,
evokedZ,word_set,noun_F,LC,0.1,0.19,pos,LC,,2.7628014583333336,04mkkm,eeg001,lexdec,0,
evokedZ,word_set,noun_F,RC,0.1,0.19,pos,RC,,2.4932956250000005,04mkkm,eeg001,lexdec,0,
evokedZ,word_set,noun_F,LP,0.1,0.19,pos,LP,,6.010222791666666,04mkkm,eeg001,lexdec,0,
evokedZ,word_set,noun_F,RP,0.1,0.19,pos,RP,,5.017167083333334,04mkkm,eeg001,lexdec,0,
evokedZ,word_set,noun_F,LF,0.1,0.19,pos,LF,,4.0359640416666664,05jwxf,eeg001,lexdec,0,
evokedZ,word_set,noun_F,RF,0.1,0.19,pos,RF,,3.5285980416666667,05jwxf,eeg001,lexdec,0,
evokedZ,word_set,noun_F,LC,0.1,0.19,pos,LC,,3.6909670833333337,05jwxf,eeg001,lexdec,0,
evokedZ,word_set,noun_F,RC,0.1,0.19,pos,RC,,4.29894,05jwxf,eeg001,lexdec,0,
evokedZ,word_set,noun_F,LP,0.1,0.19,pos,LP,,4.218919125,05jwxf,eeg001,lexdec,0,
evokedZ,word_set,noun_F,RP,0.1,0.19,pos,RP,,6.238860458333334,05jwxf,eeg001,lexdec,0,
evokedZ,word_set,noun_F,LF,0.1,0.19,pos,LF,,2.959400041666667,06pppm,eeg001,lexdec,0,
evokedZ,word_set,noun_F,RF,0.1,0.19,pos,RF,,2.1720519166666667,06pppm,eeg001,lexdec,0,
evokedZ,word_set,noun_F,LC,0.1,0.19,pos,LC,,5.005535000000001,06pppm,eeg001,lexdec,0,
evokedZ,word_set,noun_F,RC,0.1,0.19,pos,RC,,3.8088833749999993,06pppm,eeg001,lexdec,0,
evokedZ,word_set,noun_F,LP,0.1,0.19,pos,LP,,6.149395875000001,06pppm,eeg001,lexdec,0,
evokedZ,word_set,noun_F,RP,0.1,0.19,pos,RP,,7.788345708333335,06pppm,eeg001,lexdec,0,
