evoked0,quest0,cond0,chan0,tmin0,tmax0,mode0,chanX,latX,valX,SUB,SES,TASK,RUN,CHAN_BUND
evoked4,word_set,b0_all_in,LF,0.1,0.19,pos,LF,0.1775,2.846408718011407,01mkxf,eeg001,lexdec,0,
evoked4,word_set,b0_all_in,RF,0.1,0.19,pos,RF,0.17999999999999997,2.57963504577675,01mkxf,eeg001,lexdec,0,
evoked4,word_set,b0_all_in,LC,0.1,0.19,pos,LC,0.17333333333333334,4.096162830852231,01mkxf,eeg001,lexdec,0,
evoked4,word_set,b0_all_in,RC,0.1,0.19,pos,RC,0.17500000000000002,3.996491984910118,01mkxf,eeg001,lexdec,0,
evoked4,word_set,b0_all_in,LP,0.1,0.19,pos,LP,0.15916666666666665,5.3666726503404645,01mkxf,eeg001,lexdec,0,
evoked4,word_set,b0_all_in,RP,0.1,0.19,pos,RP,0.1633333333333333,5.997045724422523,01mkxf,eeg001,lexdec,0,
evoked4,word_set,b0_all_in,LF,0.1,0.19,pos,LF,0.16999999999999998,1.718357269022273,02ppxm,eeg001,lexdec,0,
evoked4,word_set,b0_all_in,RF,0.1,0.19,pos,RF,,,02ppxm,eeg001,lexdec,0,
evoked4,word_set,b0_all_in,LC,0.1,0.19,pos,LC,0.16799999999999998,2.4878607572634763,02ppxm,eeg001,lexdec,0,
evoked4,word_set,b0_all_in,RC,0.1,0.19,pos,RC,,,02ppxm,eeg001,lexdec,0,
evoked4,word_set,b0_all_in,LP,0.1,0.19,pos,LP,0.15,3.7007845407020317,02ppxm,eeg001,lexdec,0,
evoked4,word_set,b0_all_in,RP,0.1,0.19,pos,RP,0.155,3.104090754105376,02ppxm,eeg001,lexdec,0,
evoked4,word_set,b0_all_in,LF,0.1,0.19,pos,LF,0.14083333333333334,2.949832956314315,03mjkf,eeg001,lexdec,0,
evoked4,word_set,b0_all_in,RF,0.1,0.19,pos,RF,0.145,4.77292334756655,03mjkf,eeg001,lexdec,0,
evoked4,word_set,b0_all_in,LC,0.1,0.19,pos,LC,0.13583333333333333,1.3853310853460812,03mjkf,eeg001,lexdec,0,
evoked4,word_set,b0_all_in,RC,0.1,0.19,pos,RC,0.14333333333333334,4.268977400052813,03mjkf,eeg001,lexdec,0,
evoked4,word_set,b0_all_in,LP,0.1,0.19,pos,LP,0.11099999999999999,1.772313606035997,03mjkf,eeg001,lexdec,0,
evoked4,word_set,b0_all_in,RP,0.1,0.19,pos,RP,0.1425,1.9019050990118274,03mjkf,eeg001,lexdec,0,
evoked4,word_set,b0_all_in,LF,0.1,0.19,pos,LF,0.17625000000000002,0.7121601741526684,04mkkm,eeg001,lexdec,0,
evoked4,word_set,b0_all_in,RF,0.1,0.19,pos,RF,0.16999999999999996,-0.9168201450739174,04mkkm,eeg001,lexdec,0,
evoked4,word_set,b0_all_in,LC,0.1,0.19,pos,LC,0.1725,1.9049113913392128,04mkkm,eeg001,lexdec,0,
evoked4,word_set,b0_all_in,RC,0.1,0.19,pos,RC,0.16916666666666666,0.7145615455251688,04mkkm,eeg001,lexdec,0,
evoked4,word_set,b0_all_in,LP,0.1,0.19,pos,LP,0.1708333333333333,5.255798659760281,04mkkm,eeg001,lexdec,0,
evoked4,word_set,b0_all_in,RP,0.1,0.19,pos,RP,0.16099999999999998,2.5762001760575517,04mkkm,eeg001,lexdec,0,
evoked4,word_set,b0_all_in,LF,0.1,0.19,pos,LF,0.1608333333333333,1.9732684561228433,05jwxf,eeg001,lexdec,0,
evoked4,word_set,b0_all_in,RF,0.1,0.19,pos,RF,0.15083333333333326,1.694312160876304,05jwxf,eeg001,lexdec,0,
evoked4,word_set,b0_all_in,LC,0.1,0.19,pos,LC,0.1516666666666666,2.36327545373743,05jwxf,eeg001,lexdec,0,
evoked4,word_set,b0_all_in,RC,0.1,0.19,pos,RC,0.1491666666666666,4.035474011242221,05jwxf,eeg001,lexdec,0,
evoked4,word_set,b0_all_in,LP,0.1,0.19,pos,LP,0.141,2.4746778171821475,05jwxf,eeg001,lexdec,0,
evoked4,word_set,b0_all_in,RP,0.1,0.19,pos,RP,0.14166666666666666,4.708158237675316,05jwxf,eeg001,lexdec,0,
evoked4,word_set,b0_all_in,LF,0.1,0.19,pos,LF,0.15499999999999994,3.618753776990216,06pppm,eeg001,lexdec,0,
evoked4,word_set,b0_all_in,RF,0.1,0.19,pos,RF,0.15666666666666662,2.881861310929409,06pppm,eeg001,lexdec,0,
evoked4,word_set,b0_all_in,LC,0.1,0.19,pos,LC,0.1541666666666666,5.011839863190223,06pppm,eeg001,lexdec,0,
evoked4,word_set,b0_all_in,RC,0.1,0.19,pos,RC,0.15916666666666665,3.0877615765398687,06pppm,eeg001,lexdec,0,
evoked4,word_set,b0_all_in,LP,0.1,0.19,pos,LP,0.12666666666666665,3.681238358226949,06pppm,eeg001,lexdec,0,
evoked4,word_set,b0_all_in,RP,0.1,0.19,pos,RP,0.115,5.425084762734721,06pppm,eeg001,lexdec,0,
evoked4,word_set,b0_all_in,LF,0.1,0.19,pos,LF,,,07zrxf,eeg001,lexdec,0,
evoked4,word_set,b0_all_in,RF,0.1,0.19,pos,RF,0.15666666666666665,-1.997192934247451,07zrxf,eeg001,lexdec,0,
evoked4,word_set,b0_all_in,LC,0.1,0.19,pos,LC,0.11666666666666665,-0.009278314591145698,07zrxf,eeg001,lexdec,0,
evoked4,word_set,b0_all_in,RC,0.1,0.19,pos,RC,0.1225,0.09256967320355214,07zrxf,eeg001,lexdec,0,
evoked4,word_set,b0_all_in,LP,0.1,0.19,pos,LP,0.11916666666666666,3.1138801391593667,07zrxf,eeg001,lexdec,0,
evoked4,word_set,b0_all_in,RP,0.1,0.19,pos,RP,0.11583333333333334,3.776959522834517,07zrxf,eeg001,lexdec,0,
evoked4,word_set,b0_all_in,LF,0.1,0.19,pos,LF,,,08pnxm,eeg001,lexdec,0,
evoked4,word_set,b0_all_in,RF,0.1,0.19,pos,RF,,,08pnxm,eeg001,lexdec,0,
evoked4,word_set,b0_all_in,LC,0.1,0.19,pos,LC,0.13166666666666668,0.3051406024732284,08pnxm,eeg001,lexdec,0,
