set0,evoked0,quest0,cond0,chan1,later0,coron0,tmin0,class0,mode0,type0,subj0,runn0,nave0,latX,valX
Z0,evokedZ,word_set,noun_F,AF3,L,F,0.1,bva,pos,chan0,03mjkf,0,,,4.27825975
Z0,evokedZ,word_set,noun_F,AF3,L,F,0.1,bva,pos,chan0,04mkkm,0,,,1.9517944999999999
Z0,evokedZ,word_set,noun_F,AF3,L,F,0.1,bva,pos,chan0,05jwxf,0,,,4.3012865
Z0,evokedZ,word_set,noun_F,AF3,L,F,0.1,bva,pos,chan0,06pppm,0,,,2.52921
Z0,evokedZ,word_set,noun_F,AF3,L,F,0.1,bva,pos,chan0,07zrxf,0,,,-0.31763075
Z0,evokedZ,word_set,noun_F,AF3,L,F,0.1,bva,pos,chan0,08pnxm,0,,,1.61023825
Z0,evokedZ,word_set,noun_F,AF3,L,F,0.1,bva,pos,chan0,10mczf,0,,,2.03782375
Z0,evokedZ,word_set,noun_F,AF3,L,F,0.1,bva,pos,chan0,11kbxm,0,,,0.33966349999999995
Z0,evokedZ,word_set,noun_F,AF3,L,F,0.1,bva,pos,chan0,12jnxf,0,,,-1.520908
Z0,evokedZ,word_set,noun_F,AF3,L,F,0.1,bva,pos,chan0,13jsxm,0,,,0.8911045000000001
Z0,evokedZ,word_set,noun_F,AF3,L,F,0.1,bva,pos,chan0,14ktxf,0,,,3.20778075
Z0,evokedZ,word_set,noun_F,AF3,L,F,0.1,bva,pos,chan0,16olxm,0,,,0.7504392499999999
Z0,evokedZ,word_set,noun_F,AF3,L,F,0.1,bva,pos,chan0,18skxm,0,,,-0.9272435
Z0,evokedZ,word_set,noun_F,AF3,L,F,0.1,bva,pos,chan0,19jgxf,0,,,1.60100325
Z0,evokedZ,word_set,noun_F,AF3,L,F,0.1,bva,pos,chan0,20jpxf,0,,,2.4395065
Z0,evokedZ,word_set,noun_F,AF3,L,F,0.1,bva,pos,chan0,21koxf,0,,,2.90193725
Z0,evokedZ,word_set,noun_F,AF3,L,F,0.1,bva,pos,chan0,22foxm,0,,,5.75478575
Z0,evokedZ,word_set,noun_F,AF3,L,F,0.1,bva,pos,chan0,23zdxf,0,,,2.9130964999999995
Z0,evokedZ,word_set,noun_F,AF3,L,F,0.1,bva,pos,chan0,25abxf,0,,,0.4176422500000001
Z0,evokedZ,word_set,noun_F,AF3,L,F,0.1,bva,pos,chan0,27mwxf,0,,,3.4433345
Z0,evokedZ,word_set,noun_F,AF3,L,F,0.1,bva,pos,chan0,28pmsf,0,,,0.871885
Z0,evokedZ,word_set,noun_F,AF3,L,F,0.1,bva,pos,chan0,29jjxf,0,,,0.37979925
Z0,evokedZ,word_set,noun_F,AF3,L,F,0.1,bva,pos,chan0,30mszf,0,,,1.56636375
Z0,evokedZ,word_set,noun_F,AF3,L,F,0.1,bva,pos,chan0,32mjxf,0,,,2.10585725
Z0,evokedZ,word_set,noun_F,AF3,L,F,0.1,bva,pos,chan0,34gsxm,0,,,1.0268525
Z0,evokedZ,word_set,noun_F,AF3,L,F,0.1,bva,pos,chan0,35mwxm,0,,,1.54954625
Z0,evokedZ,word_set,noun_F,AF3,L,F,0.1,bva,pos,chan0,36rwxm,0,,,2.027086
Z0,evokedZ,word_set,noun_F,AF3,L,F,0.1,bva,pos,chan0,38slxm,0,,,2.7391445
Z0,evokedZ,word_set,noun_F,AF3,L,F,0.1,bva,pos,chan0,39mrxm,0,,,0.90458775
Z0,evokedZ,word_set,noun_F,AF3,L,F,0.1,bva,pos,chan0,40asxm,0,,,3.89275225
Z0,evokedZ,word_set,noun_F,AF3,L,F,0.1,bva,pos,chan0,41roxm,0,,,2.94988975
Z0,evokedZ,word_set,noun_F,AF3,L,F,0.1,bva,pos,chan0,42aszm,0,,,1.2381545000000005
Z0,evokedZ,word_set,noun_F,AF3,L,F,0.11,bva,pos,chan0,03mjkf,0,,,-2.41135475
Z0,evokedZ,word_set,noun_F,AF3,L,F,0.11,bva,pos,chan0,04mkkm,0,,,-1.20846025
Z0,evokedZ,word_set,noun_F,AF3,L,F,0.11,bva,pos,chan0,05jwxf,0,,,-1.106124
Z0,evokedZ,word_set,noun_F,AF3,L,F,0.11,bva,pos,chan0,06pppm,0,,,-4.25968475
Z0,evokedZ,word_set,noun_F,AF3,L,F,0.11,bva,pos,chan0,07zrxf,0,,,-3.8845815
Z0,evokedZ,word_set,noun_F,AF3,L,F,0.11,bva,pos,chan0,08pnxm,0,,,-2.6582485
Z0,evokedZ,word_set,noun_F,AF3,L,F,0.11,bva,pos,chan0,10mczf,0,,,-5.475651000000001
Z0,evokedZ,word_set,noun_F,AF3,L,F,0.11,bva,pos,chan0,11kbxm,0,,,-2.98134275
Z0,evokedZ,word_set,noun_F,AF3,L,F,0.11,bva,pos,chan0,12jnxf,0,,,-5.5037780000000005
Z0,evokedZ,word_set,noun_F,AF3,L,F,0.11,bva,pos,chan0,13jsxm,0,,,-0.8723942500000001
Z0,evokedZ,word_set,noun_F,AF3,L,F,0.11,bva,pos,chan0,14ktxf,0,,,-1.5311645
Z0,evokedZ,word_set,noun_F,AF3,L,F,0.11,bva,pos,chan0,16olxm,0,,,-1.86413875
Z0,evokedZ,word_set,noun_F,AF3,L,F,0.11,bva,pos,chan0,18skxm,0,,,-2.8133275
Z0,evokedZ,word_set,noun_F,AF3,L,F,0.11,bva,pos,chan0,19jgxf,0,,,-2.63744875
Z0,evokedZ,word_set,noun_F,AF3,L,F,0.11,bva,pos,chan0,20jpxf,0,,,-1.4431275
Z0,evokedZ,word_set,noun_F,AF3,L,F,0.11,bva,pos,chan0,21koxf,0,,,-1.58688975
Z0,evokedZ,word_set,noun_F,AF3,L,F,0.11,bva,pos,chan0,22foxm,0,,,-2.0124500000000003
Z0,evokedZ,word_set,noun_F,AF3,L,F,0.11,bva,pos,chan0,23zdxf,0,,,-1.6782549999999998
Z0,evokedZ,word_set,noun_F,AF3,L,F,0.11,bva,pos,chan0,25abxf,0,,,-4.530324749999999
Z0,evokedZ,word_set,noun_F,AF3,L,F,0.11,bva,pos,chan0,27mwxf,0,,,-2.9468495
Z0,evokedZ,word_set,noun_F,AF3,L,F,0.11,bva,pos,chan0,28pmsf,0,,,-2.205077
Z0,evokedZ,word_set,noun_F,AF3,L,F,0.11,bva,pos,chan0,29jjxf,0,,,-4.155968249999999
Z0,evokedZ,word_set,noun_F,AF3,L,F,0.11,bva,pos,chan0,30mszf,0,,,-0.331417
Z0,evokedZ,word_set,noun_F,AF3,L,F,0.11,bva,pos,chan0,32mjxf,0,,,-3.628339500000001
Z0,evokedZ,word_set,noun_F,AF3,L,F,0.11,bva,pos,chan0,34gsxm,0,,,-1.4567715
Z0,evokedZ,word_set,noun_F,AF3,L,F,0.11,bva,pos,chan0,35mwxm,0,,,-1.43726075
Z0,evokedZ,word_set,noun_F,AF3,L,F,0.11,bva,pos,chan0,36rwxm,0,,,-1.3051535
Z0,evokedZ,word_set,noun_F,AF3,L,F,0.11,bva,pos,chan0,38slxm,0,,,-4.41460425
Z0,evokedZ,word_set,noun_F,AF3,L,F,0.11,bva,pos,chan0,39mrxm,0,,,-0.2406475
Z0,evokedZ,word_set,noun_F,AF3,L,F,0.11,bva,pos,chan0,40asxm,0,,,-1.9431555
Z0,evokedZ,word_set,noun_F,AF3,L,F,0.11,bva,pos,chan0,41roxm,0,,,-2.9989565
Z0,evokedZ,word_set,noun_F,AF3,L,F,0.11,bva,pos,chan0,42aszm,0,,,-4.68397175
Z0,evokedZ,word_set,noun_F,AF3,L,F,0.19,bva,pos,chan0,03mjkf,0,,,1.66042225
Z0,evokedZ,word_set,noun_F,AF3,L,F,0.19,bva,pos,chan0,04mkkm,0,,,3.7194760000000002
Z0,evokedZ,word_set,noun_F,AF3,L,F,0.19,bva,pos,chan0,05jwxf,0,,,3.5947267500000004
Z0,evokedZ,word_set,noun_F,AF3,L,F,0.19,bva,pos,chan0,06pppm,0,,,4.4334145
Z0,evokedZ,word_set,noun_F,AF3,L,F,0.19,bva,pos,chan0,07zrxf,0,,,2.8894995
Z0,evokedZ,word_set,noun_F,AF3,L,F,0.19,bva,pos,chan0,08pnxm,0,,,3.4009184999999995
Z0,evokedZ,word_set,noun_F,AF3,L,F,0.19,bva,pos,chan0,10mczf,0,,,3.44731325
Z0,evokedZ,word_set,noun_F,AF3,L,F,0.19,bva,pos,chan0,11kbxm,0,,,0.7742945
Z0,evokedZ,word_set,noun_F,AF3,L,F,0.19,bva,pos,chan0,12jnxf,0,,,-2.75919975
Z0,evokedZ,word_set,noun_F,AF3,L,F,0.19,bva,pos,chan0,13jsxm,0,,,1.43754325
Z0,evokedZ,word_set,noun_F,AF3,L,F,0.19,bva,pos,chan0,14ktxf,0,,,4.882651999999999
Z0,evokedZ,word_set,noun_F,AF3,L,F,0.19,bva,pos,chan0,16olxm,0,,,0.78091975
Z0,evokedZ,word_set,noun_F,AF3,L,F,0.19,bva,pos,chan0,18skxm,0,,,1.9028985
Z0,evokedZ,word_set,noun_F,AF3,L,F,0.19,bva,pos,chan0,19jgxf,0,,,4.3947519999999995
Z0,evokedZ,word_set,noun_F,AF3,L,F,0.19,bva,pos,chan0,20jpxf,0,,,5.959300000000002
Z0,evokedZ,word_set,noun_F,AF3,L,F,0.19,bva,pos,chan0,21koxf,0,,,4.53858275
Z0,evokedZ,word_set,noun_F,AF3,L,F,0.19,bva,pos,chan0,22foxm,0,,,7.027777
Z0,evokedZ,word_set,noun_F,AF3,L,F,0.19,bva,pos,chan0,23zdxf,0,,,2.48965625
Z0,evokedZ,word_set,noun_F,AF3,L,F,0.19,bva,pos,chan0,25abxf,0,,,5.7751125000000005
Z0,evokedZ,word_set,noun_F,AF3,L,F,0.19,bva,pos,chan0,27mwxf,0,,,7.835727499999999
Z0,evokedZ,word_set,noun_F,AF3,L,F,0.19,bva,pos,chan0,28pmsf,0,,,4.48231575
Z0,evokedZ,word_set,noun_F,AF3,L,F,0.19,bva,pos,chan0,29jjxf,0,,,4.1467870000000016
Z0,evokedZ,word_set,noun_F,AF3,L,F,0.19,bva,pos,chan0,30mszf,0,,,5.1442247499999985
Z0,evokedZ,word_set,noun_F,AF3,L,F,0.19,bva,pos,chan0,32mjxf,0,,,6.4396524999999984
Z0,evokedZ,word_set,noun_F,AF3,L,F,0.19,bva,pos,chan0,34gsxm,0,,,2.32595825
Z0,evokedZ,word_set,noun_F,AF3,L,F,0.19,bva,pos,chan0,35mwxm,0,,,-0.1957740000000001
Z0,evokedZ,word_set,noun_F,AF3,L,F,0.19,bva,pos,chan0,36rwxm,0,,,4.514881750000002
Z0,evokedZ,word_set,noun_F,AF3,L,F,0.19,bva,pos,chan0,38slxm,0,,,3.739818000000001
Z0,evokedZ,word_set,noun_F,AF3,L,F,0.19,bva,pos,chan0,39mrxm,0,,,0.49586875
Z0,evokedZ,word_set,noun_F,AF3,L,F,0.19,bva,pos,chan0,40asxm,0,,,5.3207615
Z0,evokedZ,word_set,noun_F,AF3,L,F,0.19,bva,pos,chan0,41roxm,0,,,4.098827
Z0,evokedZ,word_set,noun_F,AF3,L,F,0.19,bva,pos,chan0,42aszm,0,,,3.31951425
Z0,evokedZ,word_set,noun_F,AF3,L,F,0.35,bva,pos,chan0,03mjkf,0,,,-3.299054
Z0,evokedZ,word_set,noun_F,AF3,L,F,0.35,bva,pos,chan0,04mkkm,0,,,-4.26471375
Z0,evokedZ,word_set,noun_F,AF3,L,F,0.35,bva,pos,chan0,05jwxf,0,,,-1.51642825
Z0,evokedZ,word_set,noun_F,AF3,L,F,0.35,bva,pos,chan0,06pppm,0,,,-2.224293
Z0,evokedZ,word_set,noun_F,AF3,L,F,0.35,bva,pos,chan0,07zrxf,0,,,-4.41229375
Z0,evokedZ,word_set,noun_F,AF3,L,F,0.35,bva,pos,chan0,08pnxm,0,,,-0.31573500000000004
Z0,evokedZ,word_set,noun_F,AF3,L,F,0.35,bva,pos,chan0,10mczf,0,,,-4.9272615
Z0,evokedZ,word_set,noun_F,AF3,L,F,0.35,bva,pos,chan0,11kbxm,0,,,-4.586790000000001
Z0,evokedZ,word_set,noun_F,AF3,L,F,0.35,bva,pos,chan0,12jnxf,0,,,-7.428533
Z0,evokedZ,word_set,noun_F,AF3,L,F,0.35,bva,pos,chan0,13jsxm,0,,,-3.66284725
Z0,evokedZ,word_set,noun_F,AF3,L,F,0.35,bva,pos,chan0,14ktxf,0,,,-4.608039250000001
Z0,evokedZ,word_set,noun_F,AF3,L,F,0.35,bva,pos,chan0,16olxm,0,,,-5.68318875
Z0,evokedZ,word_set,noun_F,AF3,L,F,0.35,bva,pos,chan0,18skxm,0,,,-1.76692725
Z0,evokedZ,word_set,noun_F,AF3,L,F,0.35,bva,pos,chan0,19jgxf,0,,,-5.259276000000002
Z0,evokedZ,word_set,noun_F,AF3,L,F,0.35,bva,pos,chan0,20jpxf,0,,,-0.43209075
Z0,evokedZ,word_set,noun_F,AF3,L,F,0.35,bva,pos,chan0,21koxf,0,,,-5.07278075
Z0,evokedZ,word_set,noun_F,AF3,L,F,0.35,bva,pos,chan0,22foxm,0,,,1.104427
Z0,evokedZ,word_set,noun_F,AF3,L,F,0.35,bva,pos,chan0,23zdxf,0,,,-5.0106595
Z0,evokedZ,word_set,noun_F,AF3,L,F,0.35,bva,pos,chan0,25abxf,0,,,-7.97867325
Z0,evokedZ,word_set,noun_F,AF3,L,F,0.35,bva,pos,chan0,27mwxf,0,,,-4.4412405
Z0,evokedZ,word_set,noun_F,AF3,L,F,0.35,bva,pos,chan0,28pmsf,0,,,-1.96816175
Z0,evokedZ,word_set,noun_F,AF3,L,F,0.35,bva,pos,chan0,29jjxf,0,,,-6.6462132500000015
Z0,evokedZ,word_set,noun_F,AF3,L,F,0.35,bva,pos,chan0,30mszf,0,,,-1.66904275
Z0,evokedZ,word_set,noun_F,AF3,L,F,0.35,bva,pos,chan0,32mjxf,0,,,-4.63888675
Z0,evokedZ,word_set,noun_F,AF3,L,F,0.35,bva,pos,chan0,34gsxm,0,,,-3.25815575
Z0,evokedZ,word_set,noun_F,AF3,L,F,0.35,bva,pos,chan0,35mwxm,0,,,-6.6584780000000015
Z0,evokedZ,word_set,noun_F,AF3,L,F,0.35,bva,pos,chan0,36rwxm,0,,,-0.33971224999999994
Z0,evokedZ,word_set,noun_F,AF3,L,F,0.35,bva,pos,chan0,38slxm,0,,,-4.39893725
Z0,evokedZ,word_set,noun_F,AF3,L,F,0.35,bva,pos,chan0,39mrxm,0,,,-2.415673
Z0,evokedZ,word_set,noun_F,AF3,L,F,0.35,bva,pos,chan0,40asxm,0,,,-2.2147265
Z0,evokedZ,word_set,noun_F,AF3,L,F,0.35,bva,pos,chan0,41roxm,0,,,-2.9117580000000003
Z0,evokedZ,word_set,noun_F,AF3,L,F,0.35,bva,pos,chan0,42aszm,0,,,-5.556429000000001
Z0,evokedZ,word_set,noun_F,AF3,L,F,0.41,bva,pos,chan0,03mjkf,0,,,-2.73067975
Z0,evokedZ,word_set,noun_F,AF3,L,F,0.41,bva,pos,chan0,04mkkm,0,,,-5.973779750000001
Z0,evokedZ,word_set,noun_F,AF3,L,F,0.41,bva,pos,chan0,05jwxf,0,,,-1.91421575
